Library	Initial_reads_aligned	Postfiltering_reads_aligned	Duplication_rate	Naive_coverage	BPR_coverage	Background	Reads_per_Mb	Percent_WC	Mode_GC	Mode_insert_size	Strandseq_quality*
fucci_blm_c14_w1_negctrl_3e8_S226_	1359	1212	1.30%	0.00%	0.00%	0.00%	0	52%	36%	148	empty
fucci_blm_c14_w11_single_3e8_S231_	3146	2774	1.90%	0.00%	0.00%	0.00%	0	74%	39%	146	empty
fucci_blm_c14_w13_single_3e8_S232_	4445871	4079186	32.70%	6.60%	3.30%	0.80%	463	20%	39%	149	good
fucci_blm_c14_w15_single_3e8_S233_	896187	811780	11.80%	1.70%	0.90%	1.60%	118	22%	40%	147	good
fucci_blm_c14_w17_single_3e8_S234_	149306	136118	5.00%	0.30%	0.20%	10.20%	20	21%	38%	151	poor
fucci_blm_c14_w19_single_3e8_S235_	12466	11148	1.20%	0.00%	0.00%	0.00%	2	74%	41%	147	poor
fucci_blm_c14_w21_single_3e8_S236_	1191959	1073978	16.60%	2.10%	1.10%	1.00%	151	23%	39%	147	good
fucci_blm_c14_w23_single_3e8_S237_	1960186	1793674	21.10%	3.40%	1.70%	1.90%	245	33%	39%	151	poor
fucci_blm_c14_w25_single_3e8_S238_	4104046	3724836	33.50%	6.00%	3.00%	7.70%	407	44%	38%	149	poor
fucci_blm_c14_w27_single_3e8_S239_	548	474	6.30%	0.00%	0.00%	10.00%	0	22%	36%	166	empty
fucci_blm_c14_w29_single_3e8_S240_	121237	107868	5.10%	0.20%	0.10%	3.30%	17	13%	41%	91	good
fucci_blm_c14_w3_single_3e8_S227_	2798	2456	1.60%	0.00%	0.00%	0.00%	0	57%	39%	149	empty
fucci_blm_c14_w31_single_3e8_S241_	4179897	3799570	30.70%	6.30%	3.20%	0.70%	434	15%	41%	149	good
fucci_blm_c14_w33_single_3e8_S242_	1758120	1606596	18.60%	3.10%	1.60%	11.80%	191	45%	41%	147	poor
fucci_blm_c14_w35_single_3e8_S243_	500	392	13.30%	0.00%	0.00%	33.30%	0	36%	46%	149	empty
fucci_blm_c14_w37_single_3e8_S244_	431	364	9.30%	0.00%	0.00%	20.00%	0	39%	44%	113	empty
fucci_blm_c14_w39_single_3e8_S245_	1508196	1372684	17.30%	2.70%	1.40%	0.90%	194	17%	40%	148	good
fucci_blm_c14_w41_single_3e8_S246_	261137	235720	6.50%	0.50%	0.30%	10.40%	35	30%	43%	91	poor
fucci_blm_c14_w43_single_3e8_S247_	2569175	2339442	25.90%	4.20%	2.10%	2.00%	314	23%	39%	147	poor
fucci_blm_c14_w45_single_3e8_S248_	700	624	2.60%	0.00%	0.00%	0.00%	0	22%	40%	148	empty
