seqnames start end CI.start CI.end genoT deltaW filenames
chr4 88635586 88636154 88623830 88669197 wc-cc 35 Undetermined_S0_.trimmed.mdup.bam.RData.1
chr4 88835203 88840261 88755425 88857378 cc-wc 30 Undetermined_S0_.trimmed.mdup.bam.RData.2
chr4 125757050 125758111 125751950 125777741 wc-cc 34 Undetermined_S0_.trimmed.mdup.bam.RData.3
chr4 125987077 125988660 125979704 125997015 cc-wc 38 Undetermined_S0_.trimmed.mdup.bam.RData.4
chr7 128710892 128716442 128695770 159334810 wc-ww 31 Undetermined_S0_.trimmed.mdup.bam.RData.5
chr7 128727673 128729072 128720489 128739404 ww-wc 37 Undetermined_S0_.trimmed.mdup.bam.RData.6
chr12 27622727 27624508 27612605 27649674 wc-ww 31 Undetermined_S0_.trimmed.mdup.bam.RData.7
chr12 27812174 27814697 27809061 27816349 ww-wc 31 Undetermined_S0_.trimmed.mdup.bam.RData.8
chr13 38138524 38143944 38040341 38179640 wc-ww 30 Undetermined_S0_.trimmed.mdup.bam.RData.9
chr13 38179640 38180594 38154655 38191608 ww-wc 34 Undetermined_S0_.trimmed.mdup.bam.RData.10
chr13 69245234 69245311 69242671 69256477 wc-ww 39 Undetermined_S0_.trimmed.mdup.bam.RData.11
chr13 69499768 69502015 69466339 69507608 ww-wc 31 Undetermined_S0_.trimmed.mdup.bam.RData.12
chr14 85762303 85763376 85754728 85776773 wc-ww 31 Undetermined_S0_.trimmed.mdup.bam.RData.13
chr14 85776956 85778481 81797827 85809110 ww-wc 27 Undetermined_S0_.trimmed.mdup.bam.RData.14
chr20 31546331 31547019 31539378 31555668 wc-ww 32 Undetermined_S0_.trimmed.mdup.bam.RData.15
chr20 31673778 31676139 31634230 31693695 ww-wc 31 Undetermined_S0_.trimmed.mdup.bam.RData.16
chrX 148433199 148446478 148429234 148455127 wc-cc 34 Undetermined_S0_.trimmed.mdup.bam.RData.17
chrX 148457599 148458795 238204 148495057 cc-wc 29 Undetermined_S0_.trimmed.mdup.bam.RData.18
chr1 51244539 51311132 49891344 52962660 ww-cc 172 blm-1-single-c1-w11-3d6_S6_.trimmed.mdup.bam.RData.1
chr6 95105656 95391920 92999614 98042426 cc-ww 168 blm-1-single-c1-w11-3d6_S6_.trimmed.mdup.bam.RData.2
chr7 118161139 118324189 116051637 120283783 ww-cc 172 blm-1-single-c1-w11-3d6_S6_.trimmed.mdup.bam.RData.3
chr8 69722615 69736385 69243456 69948902 wc-cc 86 blm-1-single-c1-w11-3d6_S6_.trimmed.mdup.bam.RData.4
chr9 130684365 130714721 129471788 131926143 cc-ww 163 blm-1-single-c1-w11-3d6_S6_.trimmed.mdup.bam.RData.5
chr11 84220340 84293370 81653678 86225721 ww-cc 171 blm-1-single-c1-w11-3d6_S6_.trimmed.mdup.bam.RData.6
chr12 66599213 66780707 64501035 68174886 cc-ww 159 blm-1-single-c1-w11-3d6_S6_.trimmed.mdup.bam.RData.7
chr16 78479999 78830998 78012659 79105185 ww-wc 89 blm-1-single-c1-w11-3d6_S6_.trimmed.mdup.bam.RData.8
chr18 69635292 69859998 66093374 71739745 cc-ww 171 blm-1-single-c1-w11-3d6_S6_.trimmed.mdup.bam.RData.9
chr21 37655361 37665594 37221255 46636974 ww-wc 65 blm-1-single-c1-w11-3d6_S6_.trimmed.mdup.bam.RData.10
chrX 12653143 12734023 2299549 14235532 cc-ww 160 blm-1-single-c1-w11-3d6_S6_.trimmed.mdup.bam.RData.11
chr1 43942226 44225521 11624489 46371606 wc-cc 98 blm-1-single-c1-w13-3d6_S7_.trimmed.mdup.bam.RData.1
chr10 62169599 62274904 39088629 69501273 cc-ww 158 blm-1-single-c1-w13-3d6_S7_.trimmed.mdup.bam.RData.2
